country,countryLabel,capital,capitalLabel,coordinates,lon,lat
http://www.wikidata.org/entity/Q790,Haiti,http://www.wikidata.org/entity/Q34261,Port-au-Prince,Point(-72.338611111 18.5425),-72.338611111111,18.5425
http://www.wikidata.org/entity/Q884,Hego Korea,http://www.wikidata.org/entity/Q8684,Seul,Point(126.9784 37.566),127.0,37.583333333333
http://www.wikidata.org/entity/Q884,Hego Korea,http://www.wikidata.org/entity/Q8684,Seul,Point(127.0 37.583333333),127.0,37.583333333333
http://www.wikidata.org/entity/Q884,Hego Korea,http://www.wikidata.org/entity/Q8684,Seul,Point(126.9784 37.566),126.9784,37.566
http://www.wikidata.org/entity/Q884,Hego Korea,http://www.wikidata.org/entity/Q8684,Seul,Point(127.0 37.583333333),126.9784,37.566
http://www.wikidata.org/entity/Q958,Hego Sudan,http://www.wikidata.org/entity/Q1947,Juba,Point(31.6 4.85),31.6,4.85
http://www.wikidata.org/entity/Q258,Hegoafrika,http://www.wikidata.org/entity/Q3926,Pretoria,Point(28.188055555 -25.746388888),28.188055555556,-25.746388888889
http://www.wikidata.org/entity/Q258,Hegoafrika,http://www.wikidata.org/entity/Q5465,Lurmutur Hiria,Point(18.425 -33.925),18.425,-33.925
http://www.wikidata.org/entity/Q258,Hegoafrika,http://www.wikidata.org/entity/Q37701,Bloemfontein,Point(26.216666666 -29.1),26.216666666667,-29.1
http://www.wikidata.org/entity/Q29999,Herbehereetako Erresuma,http://www.wikidata.org/entity/Q727,Amsterdam,Point(4.9 52.383333333),4.9,52.383333333333
http://www.wikidata.org/entity/Q783,Honduras,http://www.wikidata.org/entity/Q3238,Tegucigalpa,Point(-87.206666666 14.094166666),-87.206666666667,14.094166666667
http://www.wikidata.org/entity/Q28,Hungaria,http://www.wikidata.org/entity/Q1781,Budapest,Point(19.040833333 47.498333333),19.040833333333,47.498333333333
http://www.wikidata.org/entity/Q668,India,http://www.wikidata.org/entity/Q987,New Delhi,Point(77.2 28.7),77.2,28.7
http://www.wikidata.org/entity/Q252,Indonesia,http://www.wikidata.org/entity/Q3630,Jakarta,Point(106.84513 -6.21462),106.8451,-6.21462
